TOPIC,VIDEO LECTURE,PRACTICE,REMARK
MECHANICS,https://www.youtube.com/watch?v=Z4WN2Z9okfs&list=PLIhUrsYr8yHxfOmcGIeUThHEr9lQ3IXRS,RS KHURMI(check telegram channel),MADE EASY MECHANICS CAN ALSO BE USED AND ALSO REVISE NLM+FRICTION+WPE
THERMODYNAMICS,https://www.youtube.com/watch?v=vgtahBp4N-8&list=PLjtQ3BMex7hvIuffqJ-zD6grphZta10VZ,P K NAG SOLVED EXAMPLE,WATCH TILL ENTROPY ONLY AND DO ALL THE DERIVATION.
IC ENGINE,https://www.youtube.com/watch?v=-LwmVczg4Dg&list=PLiSPNzs4fD9tOj1Zi4JIHg5LJomkez_Zj,DO ALL THE DERIVATION,
SOM,ANY SOM GATE PLAYLIST ,JUST SOLVE PREVIOUS YEAR QUESTION FROM PQB,
THERMOCHEMISTRY,https://www.youtube.com/watch?v=N2QhUiXi-sI&list=PLbu_fGT0MPstJLv45X1G56xpD5mLFllZc,ANY JEE PHYSICAL CHEM BOOK + PREVIOUS YEAR ,
