DRAWING FRONT VIEW AND TOP VIEW,https://www.youtube.com/playlist?list=PLIhUrsYr8yHwDUrVYmUNYkEeZgZTvoIfS,WATCH RELEVANT VIDEOS FROM THIS PLAYLIST BY MANAS PATNAIK,
ISOMETRIC VIEW,https://www.youtube.com/playlist?list=PLIhUrsYr8yHwDUrVYmUNYkEeZgZTvoIfS,WATCH RELEVANT VIDEOS FROM THIS PLAYLIST BY MANAS PATNAIK,
SECTIONAL SIDE VIEW,https://www.youtube.com/playlist?list=PLIhUrsYr8yHwDUrVYmUNYkEeZgZTvoIfS,WATCH RELEVANT VIDEOS FROM THIS PLAYLIST BY MANAS PATNAIK,
